faiss_idx,scene,ts_ns,frame_idx,tx,ty,tz,qw,qx,qy,qz
56,seq00,27981386475337,56,0.177368,0.076806,0.012237,0.551520401,0.345901421,0.739495127,-0.171243719
57,seq00,27982386474500,57,0.214999,0.12391,0.038729,0.597315034,0.313853824,0.707495196,-0.210145364
58,seq00,27983386479875,58,0.369921,0.17549,0.026581,0.579726588,0.330319589,0.702046843,-0.24887001
59,seq00,27984386478425,59,0.37614,0.181134,0.027598,0.57896718,0.320629578,0.708708728,-0.244388252
60,seq00,27985386480712,60,0.400486,0.19686,0.016118,0.559058836,0.327914324,0.728617016,-0.221455771
61,seq00,27986386471087,61,0.381089,0.184136,0.02502,0.582285711,0.323966967,0.710599533,-0.225913829
62,seq00,27987386469212,62,0.171706,0.115718,0.024441,0.574898576,0.299802042,0.735448888,-0.19678744
63,seq00,27988386479587,63,0.167605,0.002526,0.020377,0.578470286,0.296227926,0.735426795,-0.191751332
64,seq00,27989386478125,64,0.151661,-0.013098,0.019065,0.573800467,0.303954027,0.741860083,-0.167357675
65,seq00,27990386472750,65,0.002625,-0.009699,0.016574,0.590504765,0.271417982,0.747978595,-0.134775455
66,seq00,27991386471125,66,-0.088713,-0.013852,0.004331,0.580980323,0.239918892,0.763913405,-0.146072236
67,seq00,27992386469462,67,-0.065381,-0.007397,0.022908,0.580016175,0.25042409,0.762499994,-0.139509036
68,seq00,27993386482375,68,0.071069,0.121683,0.027081,0.57912289,0.308750453,0.731638455,-0.184377348
69,seq00,27994386474125,69,0.188731,0.143428,0.023917,0.582498164,0.314210172,0.720837108,-0.20581963
70,seq00,27995386471425,70,0.344518,0.016812,0.025991,0.573640315,0.337758527,0.706582404,-0.239994319
71,seq00,27996386472962,71,0.564964,0.000568,0.023852,0.552666281,0.464272596,0.633288124,-0.27920797
72,seq00,27997386477250,72,0.598912,0.073289,0.026957,0.530608193,0.488049624,0.630301516,-0.288066848
73,seq00,27998386479500,73,0.602035,0.138049,0.029645,0.54791234,0.462181779,0.651937476,-0.247300622
74,seq00,27999386478087,74,0.737885,0.148855,0.024182,0.545487034,0.475904561,0.635884427,-0.267599964
75,seq00,28000386481000,75,0.701429,0.162079,0.010093,0.515683599,0.517431146,0.623106627,-0.279416473
76,seq00,28001386480087,76,0.429193,0.22903,0.003206,0.479249198,0.531745589,0.653879509,-0.244966166
77,seq00,28002386473962,77,0.259736,0.031651,-0.026014,0.470986185,0.492117116,0.708566224,-0.184191922
78,seq00,28003386472750,78,0.002936,-0.102175,-0.032938,0.47023604,0.489682258,0.725962696,-0.109852251
79,seq00,28004386475425,79,-0.021675,-0.120616,-0.015633,0.52347099,0.413594369,0.73687329,-0.109250057
80,seq00,28005386470587,80,-0.054641,-0.10746,-0.012416,0.528929198,0.327964853,0.781208026,-0.048856707
81,seq00,28006386479925,81,0.028868,-0.00586,-0.000968,0.554361875,0.350811949,0.750070918,-0.083710847
82,seq00,28007386479837,82,0.047368,0.001838,-0.006747,0.538567557,0.382772335,0.743516715,-0.103020484
83,seq00,28008386476087,83,0.048351,-0.000353,-0.020651,0.500358829,0.459172409,0.72651599,-0.104767639
84,seq00,28009386478337,84,0.052757,0.010239,-0.01386,0.511601211,0.429763215,0.735179888,-0.114360451
85,seq00,28010386476250,85,0.054751,0.013178,-0.010253,0.516288668,0.419977614,0.736049389,-0.12367745
86,seq00,28011386474375,86,0.059065,0.009979,-0.009669,0.518621201,0.414084491,0.737441102,-0.12548588
87,seq00,28012386472962,87,-0.01965,0.011866,-0.011962,0.514303071,0.443893608,0.722518535,-0.128131896
88,seq00,28013386475337,88,-0.119899,0.061214,-0.011438,0.525343507,0.397468851,0.744339385,-0.109506129
89,seq00,28014386472500,89,-0.13015,0.066862,0.003999,0.548536055,0.301096851,0.778154081,-0.054084276
90,seq00,28015386478750,90,-0.137847,0.044744,-0.007738,0.534636787,0.366209313,0.757652042,-0.077573376
91,seq00,28016386478337,91,-0.196652,0.029052,-0.036704,0.485748242,0.482945206,0.724831673,-0.073699522
92,seq00,28017386474675,92,-0.218335,0.009036,-0.034403,0.504966219,0.467301906,0.722901998,-0.063645488
93,seq00,28018386471550,93,-0.172459,0.028174,-0.024705,0.518781522,0.392381547,0.756119172,-0.072015632
94,seq00,28019386478925,94,-0.197928,-0.007822,-0.040536,0.486177983,0.475418648,0.731480454,-0.050442284
95,seq00,28020386474375,95,-0.204405,0.013045,-0.043773,0.489687105,0.472045745,0.731614936,-0.046031936
96,seq00,28021386476675,96,-0.202624,0.005996,-0.042891,0.492713598,0.461516631,0.736320886,-0.045467146
97,seq00,28022386475212,97,-0.198894,0.009927,-0.043477,0.492692785,0.465979504,0.73348296,-0.046039859
98,seq00,28023386473800,98,-0.202868,0.016464,-0.043511,0.49742666,0.465850576,0.730443643,-0.044744204
99,seq00,28024386476087,99,-0.202483,0.013298,-0.044429,0.495968637,0.464833687,0.731922544,-0.047266741
100,seq00,28025386476750,100,-0.167595,0.002308,-0.036871,0.569524272,0.349952707,0.741668405,-0.055706214
101,seq00,28026386468212,101,-0.096648,-0.092311,-0.099131,0.657907135,0.247396802,0.696293096,-0.145358
102,seq00,28027386473587,102,-0.072855,-0.136426,-0.161178,0.668118852,0.188846944,0.714966521,-0.082321957
103,seq00,28028386476712,103,-0.068497,-0.144467,-0.171638,0.67457387,0.191794019,0.71096714,-0.051873633
104,seq00,28029386481125,104,-0.072594,-0.142058,-0.171327,0.674541818,0.205257372,0.707764775,-0.043951902
